Area,Measure,Year at 30 June,Value,Flags
"Canterbury region","Population","2022",655000,
"Otago region","Population","2022",246000,
"Southland region","Natural increase","2022",240,
"Area outside region","Natural increase","2022",0,
"Far North district","Natural increase","2022",140,
"Whangarei district","Natural increase","2022",260,
"Kaipara district","Natural increase","2022",90,
"Auckland","Natural increase","2022",12000,
"Rodney local board area","Natural increase","2022",500,
"Hibiscus and Bays local board area","Natural increase","2022",420,
"Upper Harbour local board area","Natural increase","2022",480,
"Kaipatiki local board area","Natural increase","2022",730,
"Devonport-Takapuna local board area","Natural increase","2022",190,
"Henderson-Massey local board area","Natural increase","2022",1200,
"Waitakere Ranges local board area","Natural increase","2022",460,
"Aotea/Great Barrier local board area","Natural increase","2022",0,
"Waiheke local board area","Natural increase","2022",20,
"Waitemata local board area","Natural increase","2022",410,
"Whau local board area","Natural increase","2022",580,
"Southland region","Population","2018",100500,
"Area outside region","Population","2018",690,
"Far North district","Population","2018",67900,
"Whangarei district","Population","2018",94100,
"Kaipara district","Population","2018",23700,
"Auckland","Population","2018",1654800,
"Rodney local board area","Population","2018",69100,
"Hibiscus and Bays local board area","Population","2018",108500,
"Upper Harbour local board area","Population","2018",66800,
"Kaipatiki local board area","Population","2018",92900,
"Devonport-Takapuna local board area","Population","2018",60500,
"Henderson-Massey local board area","Population","2018",124600,
"Waitakere Ranges local board area","Population","2018",54200,
"Aotea/Great Barrier local board area","Population","2018",960,
"Waiheke local board area","Population","2018",9360,
"Waitemata local board area","Population","2018",88500,
"Whau local board area","Population","2018",84100,
"Ruapehu district","Natural increase","2019",80,
"South Taranaki district","Natural increase","2019",190,
"Stratford district","Natural increase","2019",80,
"New Plymouth district","Natural increase","2019",390,
"Central Hawke's Bay district","Natural increase","2019",80,
"Napier city","Natural increase","2019",100,
"Hastings district","Natural increase","2019",360,
"Wairoa district","Natural increase","2019",20,
"Gisborne district","Natural increase","2019",280,
"Opotiki district","Natural increase","2019",70,
"Kawerau district","Natural increase","2019",20,
"Whakatane district","Natural increase","2019",150,
"Rotorua district","Natural increase","2019",450,
"Tauranga city","Natural increase","2019",600,
"Western Bay of Plenty district","Natural increase","2019",140,
"Taupo district","Natural increase","2019",210,
"Waitomo district","Natural increase","2019",40,
"South Waikato district","Natural increase","2019",160,
"Otorohanga district","Natural increase","2019",70,
"Waipa district","Natural increase","2019",250,
"Hamilton city","Natural increase","2019",1500,
"Matamata-Piako district","Natural increase","2019",150,
"Waikato district","Natural increase","2019",580,
"Hauraki district","Natural increase","2019",70,
"Thames-Coromandel district","Natural increase","2019",-90,
"Franklin local board area","Natural increase","2019",450,
"Papakura local board area","Natural increase","2019",770,
"Manurewa local board area","Natural increase","2019",1300,
"Otara-Papatoetoe local board area","Natural increase","2019",1100,
"Mangere-Otahuhu local board area","Natural increase","2019",970,
"Howick local board area","Natural increase","2019",870,
"Maungakiekie-Tamaki local board area","Natural increase","2019",850,
"Orakei local board area","Natural increase","2019",300,
"Puketapapa local board area","Natural increase","2019",480,
"Albert-Eden local board area","Natural increase","2019",450,
"Whau local board area","Population","2019",85200,
"Waitemata local board area","Population","2019",90700,
"Waiheke local board area","Population","2019",9490,
"Aotea/Great Barrier local board area","Population","2019",990,
"Waitakere Ranges local board area","Population","2019",54600,
"Henderson-Massey local board area","Population","2019",126600,
"Devonport-Takapuna local board area","Population","2019",60600,
"Kaipatiki local board area","Population","2019",93300,
"Upper Harbour local board area","Population","2019",68700,
"Hibiscus and Bays local board area","Population","2019",110900,
"Rodney local board area","Population","2019",71200,
"Auckland","Population","2019",1681300,
"Kaipara district","Population","2019",24300,
"Whangarei district","Population","2019",95600,
"Far North district","Population","2019",69200,
"Area outside region","Population","2019",710,
"Southland region","Population","2019",101600,
"Southland region","Net internal migration","2019",-300,
"Area outside region","Net internal migration","2019",20,
"Far North district","Net internal migration","2019",640,
