Area,Measure,Year at 30 June,Value,Flags
"Selwyn district","Net migration","2021",4600,
"Ashburton district","Net migration","2021",160,
"Timaru district","Net migration","2021",160,
"Mackenzie district","Net migration","2021",-40,
"Waimate district","Net migration","2021",10,
"Chatham Islands territory","Net migration","2021",30,
"Waitaki district","Net migration","2021",240,
"Central Otago district","Net migration","2021",510,
"Queenstown-Lakes district","Net migration","2021",420,
"Dunedin city","Net migration","2021",-2300,
"Clutha district","Net migration","2021",30,
"Southland district","Net migration","2021",-210,
"Gore district","Net migration","2021",-20,
"Invercargill city","Net migration","2021",-240,
"Area outside territorial authority","Net migration","2021",0,
"Area outside territorial authority","Natural increase","2021",0,
"Invercargill city","Natural increase","2021",0,
"Gore district","Natural increase","2021",-10,
"Southland district","Natural increase","2021",190,
"Clutha district","Natural increase","2021",60,
"Dunedin city","Natural increase","2021",260,
"Queenstown-Lakes district","Natural increase","2021",420,
"Central Otago district","Natural increase","2021",50,
"Waitaki district","Natural increase","2021",-30,
"Chatham Islands territory","Natural increase","2021",0,
"Waimate district","Natural increase","2021",20,
"Mackenzie district","Natural increase","2021",20,
"Timaru district","Natural increase","2021",20,
"Ashburton district","Natural increase","2021",170,
"Selwyn district","Natural increase","2021",730,
"Christchurch city","Natural increase","2021",1700,
"Waimakariri district","Natural increase","2021",170,
"Hurunui district","Natural increase","2021",50,
"Westland district","Natural increase","2021",30,
"Grey district","Natural increase","2021",30,
"Buller district","Natural increase","2021",0,
"Kaikoura district","Natural increase","2021",10,
"Marlborough district","Natural increase","2021",70,
"Nelson city","Natural increase","2021",60,
"Tasman district","Natural increase","2021",150,
"South Wairarapa district","Natural increase","2021",30,
"Carterton district","Natural increase","2021",20,
"Masterton district","Natural increase","2021",50,
"Wellington city","Natural increase","2021",1100,
"Lower Hutt city","Natural increase","2021",830,
"Upper Hutt city","Natural increase","2021",250,
"Porirua city","Natural increase","2021",530,
"Kapiti Coast district","Natural increase","2021",-170,
"Horowhenua district","Natural increase","2021",10,
"Tararua district","Natural increase","2021",100,
"Palmerston North city","Natural increase","2021",520,
"Manawatu district","Natural increase","2021",120,
"Rangitikei district","Natural increase","2021",100,
"Whanganui district","Natural increase","2021",40,
"South Taranaki district","Population","2021",29300,
"Stratford district","Population","2021",10100,
"New Plymouth district","Population","2021",87200,
"Central Hawke's Bay district","Population","2021",15700,
"Napier city","Population","2021",66600,
"Hastings district","Population","2021",90200,
"Wairoa district","Population","2021",9090,
"Gisborne district","Population","2021",51800,
"Opotiki district","Population","2021",10400,
"Kawerau district","Population","2021",7690,
"Whakatane district","Population","2021",38200,
"Rotorua district","Population","2021",76900,
"Tauranga city","Population","2021",156100,
"Western Bay of Plenty district","Population","2021",58500,
"Taupo district","Population","2021",41000,
"Waitomo district","Population","2021",9710,
"South Waikato district","Population","2021",25600,
"Otorohanga district","Population","2021",10800,
"Waipa district","Population","2021",59800,
"Hamilton city","Population","2021",179100,
"Matamata-Piako district","Population","2021",36800,
"Waikato district","Population","2021",86700,
"Hauraki district","Population","2021",22000,
"Thames-Coromandel district","Population","2021",33300,
"Franklin local board area","Population","2021",82500,
"Papakura local board area","Population","2021",70100,
"Manurewa local board area","Population","2021",106300,
"Otara-Papatoetoe local board area","Population","2021",93700,
"Mangere-Otahuhu local board area","Population","2021",85700,
"Howick local board area","Population","2021",153500,
"Maungakiekie-Tamaki local board area","Population","2021",82300,
"Orakei local board area","Population","2021",87700,
"Puketapapa local board area","Population","2021",60700,
"Albert-Eden local board area","Population","2021",101100,
"Albert-Eden local board area","Net internal migration","2021",-2900,
"Puketapapa local board area","Net internal migration","2021",-1100,
"Orakei local board area","Net internal migration","2021",-1700,
"Maungakiekie-Tamaki local board area","Net internal migration","2021",-1400,
"Howick local board area","Net internal migration","2021",-1100,
"Mangere-Otahuhu local board area","Net internal migration","2021",-1100,
"Otara-Papatoetoe local board area","Net internal migration","2021",-1000,
"Manurewa local board area","Net internal migration","2021",-390,
"Papakura local board area","Net internal migration","2021",2100,
"Franklin local board area","Net internal migration","2021",840,
"Thames-Coromandel district","Net internal migration","2021",860,
"Hauraki district","Net internal migration","2021",350,
"Waikato district","Net internal migration","2021",2200,
"Matamata-Piako district","Net internal migration","2021",240,
"Hamilton city","Net internal migration","2021",430,
"Waipa district","Net internal migration","2021",1000,
"Otorohanga district","Net internal migration","2021",-20,
"South Waikato district","Net internal migration","2021",20,
"Waitomo district","Net internal migration","2021",-70,
"Taupo district","Net internal migration","2021",330,
"Western Bay of Plenty district","Net internal migration","2021",1100,
"Tauranga city","Net internal migration","2021",2200,
"Rotorua district","Net internal migration","2021",-720,
"Whakatane district","Net internal migration","2021",-140,
"Kawerau district","Net internal migration","2021",20,
"Opotiki district","Net internal migration","2021",70,
"Gisborne district","Net internal migration","2021",-60,
"Wairoa district","Net internal migration","2021",30,
"Hastings district","Net internal migration","2021",-40,
"Napier city","Net internal migration","2021",140,
"Central Hawke's Bay district","Net internal migration","2021",240,
"New Plymouth district","Net internal migration","2021",190,
"Stratford district","Net internal migration","2021",20,
"South Taranaki district","Net internal migration","2021",80,
"South Taranaki district","Net international migration","2021",50,
"Stratford district","Net international migration","2021",10,
"New Plymouth district","Net international migration","2021",370,
"Central Hawke's Bay district","Net international migration","2021",60,
"Napier city","Net international migration","2021",100,
"Hastings district","Net international migration","2021",470,
"Wairoa district","Net international migration","2021",60,
"Gisborne district","Net international migration","2021",200,
"Opotiki district","Net international migration","2021",50,
"Kawerau district","Net international migration","2021",30,
"Whakatane district","Net international migration","2021",140,
"Rotorua district","Net international migration","2021",0,
"Tauranga city","Net international migration","2021",120,
"Western Bay of Plenty district","Net international migration","2021",190,
"Taupo district","Net international migration","2021",40,
"Waitomo district","Net international migration","2021",50,
"South Waikato district","Net international migration","2021",50,
"Otorohanga district","Net international migration","2021",10,
"Waipa district","Net international migration","2021",40,
"Hamilton city","Net international migration","2021",-420,
"Matamata-Piako district","Net international migration","2021",0,
"Waikato district","Net international migration","2021",30,
"Hauraki district","Net international migration","2021",60,
"Thames-Coromandel district","Net international migration","2021",90,
"Franklin local board area","Net international migration","2021",-30,
"Papakura local board area","Net international migration","2021",-50,
"Manurewa local board area","Net international migration","2021",-150,
"Otara-Papatoetoe local board area","Net international migration","2021",-220,
"Mangere-Otahuhu local board area","Net international migration","2021",190,
"Howick local board area","Net international migration","2021",-980,
"Maungakiekie-Tamaki local board area","Net international migration","2021",-190,
"Orakei local board area","Net international migration","2021",-240,
"Puketapapa local board area","Net international migration","2021",-620,
"Albert-Eden local board area","Net international migration","2021",-770,
"Albert-Eden local board area","Net migration","2021",-3600,
"Puketapapa local board area","Net migration","2021",-1700,
"Orakei local board area","Net migration","2021",-2000,
"Maungakiekie-Tamaki local board area","Net migration","2021",-1600,
"Howick local board area","Net migration","2021",-2100,
"Mangere-Otahuhu local board area","Net migration","2021",-900,
"Otara-Papatoetoe local board area","Net migration","2021",-1200,
"Manurewa local board area","Net migration","2021",-540,
"Papakura local board area","Net migration","2021",2100,
"Franklin local board area","Net migration","2021",810,
"Thames-Coromandel district","Net migration","2021",950,
"Hauraki district","Net migration","2021",410,
"Waikato district","Net migration","2021",2200,
"Matamata-Piako district","Net migration","2021",240,
"Hamilton city","Net migration","2021",10,
"Waipa district","Net migration","2021",1100,
"Otorohanga district","Net migration","2021",0,
"South Waikato district","Net migration","2021",70,
"Waitomo district","Net migration","2021",-20,
"Taupo district","Net migration","2021",380,
"Western Bay of Plenty district","Net migration","2021",1300,
"Tauranga city","Net migration","2021",2300,
"Rotorua district","Net migration","2021",-720,
"Whakatane district","Net migration","2021",10,
"Kawerau district","Net migration","2021",50,
"Opotiki district","Net migration","2021",120,
"Gisborne district","Net migration","2021",140,
"Wairoa district","Net migration","2021",90,
"Hastings district","Net migration","2021",430,
"Napier city","Net migration","2021",240,
"Central Hawke's Bay district","Net migration","2021",300,
"New Plymouth district","Net migration","2021",570,
"Stratford district","Net migration","2021",20,
"South Taranaki district","Net migration","2021",130,
"South Taranaki district","Net migration","2022",100,
"Stratford district","Net migration","2022",30,
"New Plymouth district","Net migration","2022",310,
"Central Hawke's Bay district","Net migration","2022",150,
"Napier city","Net migration","2022",70,
"Hastings district","Net migration","2022",30,
"Wairoa district","Net migration","2022",60,
"Gisborne district","Net migration","2022",-50,
"Opotiki district","Net migration","2022",80,
"Kawerau district","Net migration","2022",40,
"Whakatane district","Net migration","2022",10,
"Rotorua district","Net migration","2022",-500,
"Tauranga city","Net migration","2022",1600,
"Western Bay of Plenty district","Net migration","2022",1000,
"Taupo district","Net migration","2022",180,
"Waitomo district","Net migration","2022",-60,
"South Waikato district","Net migration","2022",110,
"Otorohanga district","Net migration","2022",-30,
"Waipa district","Net migration","2022",510,
"Hamilton city","Net migration","2022",-670,
"Matamata-Piako district","Net migration","2022",190,
"Waikato district","Net migration","2022",1500,
"Hauraki district","Net migration","2022",290,
"Thames-Coromandel district","Net migration","2022",550,
"Franklin local board area","Net migration","2022",590,
"Papakura local board area","Net migration","2022",1800,
"Manurewa local board area","Net migration","2022",130,
"Otara-Papatoetoe local board area","Net migration","2022",-760,
"Mangere-Otahuhu local board area","Net migration","2022",-120,
"Howick local board area","Net migration","2022",-1800,
"Maungakiekie-Tamaki local board area","Net migration","2022",-1200,
"Orakei local board area","Net migration","2022",-2300,
"Puketapapa local board area","Net migration","2022",-1300,
"Albert-Eden local board area","Net migration","2022",-3500,
"Albert-Eden local board area","Net international migration","2022",-840,
"Puketapapa local board area","Net international migration","2022",-250,
"Orakei local board area","Net international migration","2022",-890,
"Maungakiekie-Tamaki local board area","Net international migration","2022",-200,
"Howick local board area","Net international migration","2022",-450,
"Mangere-Otahuhu local board area","Net international migration","2022",580,
"Otara-Papatoetoe local board area","Net international migration","2022",400,
"Manurewa local board area","Net international migration","2022",200,
"Papakura local board area","Net international migration","2022",20,
"Franklin local board area","Net international migration","2022",-190,
"Thames-Coromandel district","Net international migration","2022",-140,
"Hauraki district","Net international migration","2022",-10,
"Waikato district","Net international migration","2022",-140,
"Matamata-Piako district","Net international migration","2022",20,
"Hamilton city","Net international migration","2022",-370,
"Waipa district","Net international migration","2022",-160,
"Otorohanga district","Net international migration","2022",-20,
"South Waikato district","Net international migration","2022",60,
"Waitomo district","Net international migration","2022",0,
"Taupo district","Net international migration","2022",-100,
"Western Bay of Plenty district","Net international migration","2022",60,
"Tauranga city","Net international migration","2022",-430,
"Rotorua district","Net international migration","2022",30,
"Whakatane district","Net international migration","2022",20,
"Kawerau district","Net international migration","2022",0,
"Opotiki district","Net international migration","2022",20,
"Gisborne district","Net international migration","2022",10,
"Wairoa district","Net international migration","2022",40,
"Hastings district","Net international migration","2022",-110,
"Napier city","Net international migration","2022",-90,
"Central Hawke's Bay district","Net international migration","2022",-40,
"New Plymouth district","Net international migration","2022",-20,
"Stratford district","Net international migration","2022",0,
"South Taranaki district","Net international migration","2022",50,
"South Taranaki district","Net internal migration","2022",50,
"Stratford district","Net internal migration","2022",30,
"New Plymouth district","Net internal migration","2022",330,
"Central Hawke's Bay district","Net internal migration","2022",190,
"Napier city","Net internal migration","2022",160,
"Hastings district","Net internal migration","2022",130,
"Wairoa district","Net internal migration","2022",20,
"Gisborne district","Net internal migration","2022",-60,
"Opotiki district","Net internal migration","2022",50,
"Kawerau district","Net internal migration","2022",50,
"Whakatane district","Net internal migration","2022",-10,
"Rotorua district","Net internal migration","2022",-520,
"Tauranga city","Net internal migration","2022",2100,
"Western Bay of Plenty district","Net internal migration","2022",930,
"Taupo district","Net internal migration","2022",280,
"Waitomo district","Net internal migration","2022",-60,
"South Waikato district","Net internal migration","2022",40,
"Otorohanga district","Net internal migration","2022",-10,
"Waipa district","Net internal migration","2022",660,
"Hamilton city","Net internal migration","2022",-300,
"Matamata-Piako district","Net internal migration","2022",170,
"Waikato district","Net internal migration","2022",1600,
"Hauraki district","Net internal migration","2022",300,
"Thames-Coromandel district","Net internal migration","2022",690,
"Franklin local board area","Net internal migration","2022",780,
"Papakura local board area","Net internal migration","2022",1700,
"Manurewa local board area","Net internal migration","2022",-70,
"Otara-Papatoetoe local board area","Net internal migration","2022",-1200,
"Mangere-Otahuhu local board area","Net internal migration","2022",-690,
"Howick local board area","Net internal migration","2022",-1400,
"Maungakiekie-Tamaki local board area","Net internal migration","2022",-980,
"Orakei local board area","Net internal migration","2022",-1500,
"Puketapapa local board area","Net internal migration","2022",-1000,
"Albert-Eden local board area","Net internal migration","2022",-2700,
"Albert-Eden local board area","Population","2022",98000,
"Puketapapa local board area","Population","2022",59700,
"Orakei local board area","Population","2022",85600,
"Maungakiekie-Tamaki local board area","Population","2022",81900,
"Howick local board area","Population","2022",152500,
"Mangere-Otahuhu local board area","Population","2022",86300,
"Otara-Papatoetoe local board area","Population","2022",93900,
"Manurewa local board area","Population","2022",107700,
"Papakura local board area","Population","2022",72900,
"Franklin local board area","Population","2022",83600,
"Thames-Coromandel district","Population","2022",33700,
"Hauraki district","Population","2022",22200,
"Waikato district","Population","2022",88900,
"Matamata-Piako district","Population","2022",37100,
"Hamilton city","Population","2022",179900,
"Waipa district","Population","2022",60500,
"Otorohanga district","Population","2022",10850,
"South Waikato district","Population","2022",25900,
"Waitomo district","Population","2022",9670,
"Taupo district","Population","2022",41400,
"Western Bay of Plenty district","Population","2022",59700,
"Tauranga city","Population","2022",158300,
"Rotorua district","Population","2022",76800,
"Whakatane district","Population","2022",38300,
"Kawerau district","Population","2022",7760,
"Opotiki district","Population","2022",10500,
"Gisborne district","Population","2022",52100,
"Wairoa district","Population","2022",9190,
"Hastings district","Population","2022",90600,
"Napier city","Population","2022",66800,
"Central Hawke's Bay district","Population","2022",15950,
"New Plymouth district","Population","2022",87700,
"Stratford district","Population","2022",10150,
"South Taranaki district","Population","2022",29600,
"Whanganui district","Natural increase","2022",20,
"Rangitikei district","Natural increase","2022",70,
"Manawatu district","Natural increase","2022",100,
"Palmerston North city","Natural increase","2022",510,
"Tararua district","Natural increase","2022",50,
"Horowhenua district","Natural increase","2022",-30,
"Kapiti Coast district","Natural increase","2022",-170,
"Porirua city","Natural increase","2022",520,
"Upper Hutt city","Natural increase","2022",160,
"Lower Hutt city","Natural increase","2022",630,
"Wellington city","Natural increase","2022",880,
"Masterton district","Natural increase","2022",60,
"Carterton district","Natural increase","2022",10,
"South Wairarapa district","Natural increase","2022",40,
"Tasman district","Natural increase","2022",60,
"Nelson city","Natural increase","2022",30,
"Marlborough district","Natural increase","2022",-10,
"Kaikoura district","Natural increase","2022",0,
"Buller district","Natural increase","2022",-70,
"Grey district","Natural increase","2022",30,
"Westland district","Natural increase","2022",-10,
"Hurunui district","Natural increase","2022",60,
"Waimakariri district","Natural increase","2022",110,
"Christchurch city","Natural increase","2022",1400,
"Selwyn district","Natural increase","2022",700,
"Ashburton district","Natural increase","2022",80,
"Timaru district","Natural increase","2022",-70,
"Mackenzie district","Natural increase","2022",30,
"Waimate district","Natural increase","2022",10,
"Chatham Islands territory","Natural increase","2022",0,
"Waitaki district","Natural increase","2022",-30,
"Central Otago district","Natural increase","2022",70,
"Queenstown-Lakes district","Natural increase","2022",380,
"Dunedin city","Natural increase","2022",60,
"Clutha district","Natural increase","2022",60,
"Southland district","Natural increase","2022",210,
"Gore district","Natural increase","2022",-20,
"Invercargill city","Natural increase","2022",50,
"Area outside territorial authority","Natural increase","2022",0,
"Area outside territorial authority","Net migration","2022",0,
"Invercargill city","Net migration","2022",-190,
"Gore district","Net migration","2022",40,
"Southland district","Net migration","2022",-180,
"Clutha district","Net migration","2022",70,
"Dunedin city","Net migration","2022",-450,
"Queenstown-Lakes district","Net migration","2022",530,
"Central Otago district","Net migration","2022",590,
"Waitaki district","Net migration","2022",170,
"Chatham Islands territory","Net migration","2022",30,
"Waimate district","Net migration","2022",20,
"Mackenzie district","Net migration","2022",0,
"Timaru district","Net migration","2022",90,
"Ashburton district","Net migration","2022",160,
"Selwyn district","Net migration","2022",2900,
"Christchurch city","Net migration","2022",-2100,
"Waimakariri district","Net migration","2022",1200,
"Hurunui district","Net migration","2022",80,
"Westland district","Net migration","2022",-50,
"Grey district","Net migration","2022",-10,
"Buller district","Net migration","2022",-70,
"Kaikoura district","Net migration","2022",0,
"Marlborough district","Net migration","2022",310,
"Nelson city","Net migration","2022",-250,
"Tasman district","Net migration","2022",550,
"South Wairarapa district","Net migration","2022",100,
"Carterton district","Net migration","2022",140,
"Masterton district","Net migration","2022",490,
"Wellington city","Net migration","2022",-3200,
"Ruapehu district","Natural increase","2022",70,
"Ruapehu district","Population","2018",12750,
"Whanganui district","Population","2018",46800,
"Rangitikei district","Population","2018",15450,
"Manawatu district","Population","2018",31100,
"Palmerston North city","Population","2018",88300,
"Tararua district","Population","2018",18450,
"Horowhenua district","Population","2018",34500,
"Kapiti Coast district","Population","2018",55200,
"Porirua city","Population","2018",58900,
"Upper Hutt city","Population","2018",45400,
"Lower Hutt city","Population","2018",108600,
"Wellington city","Population","2018",211200,
"Masterton district","Population","2018",26400,
"Carterton district","Population","2018",9510,
"South Wairarapa district","Population","2018",10900,
"Tasman district","Population","2018",54000,
"Nelson city","Population","2018",52700,
"Marlborough district","Population","2018",48700,
"Kaikoura district","Population","2018",4060,
"Buller district","Population","2018",9850,
"Grey district","Population","2018",13750,
"Westland district","Population","2018",8830,
"Hurunui district","Population","2018",12950,
"Waimakariri district","Population","2018",61300,
"Christchurch city","Population","2018",383800,
"Selwyn district","Population","2018",63300,
"Ashburton district","Population","2018",34600,
"Timaru district","Population","2018",47600,
"Mackenzie district","Population","2018",5100,
"Waimate district","Population","2018",8120,
"Chatham Islands territory","Population","2018",690,
"Waitaki district","Population","2018",22900,
"Central Otago district","Population","2018",22200,
"Queenstown-Lakes district","Population","2018",42500,
"Dunedin city","Population","2018",131200,
"Clutha district","Population","2018",18050,
"Southland district","Population","2018",31900,
"Gore district","Population","2018",12800,
"Invercargill city","Population","2018",55900,
"Area outside territorial authority","Population","2018",40,
"Area outside territorial authority","Population","2019",40,
"Invercargill city","Population","2019",56600,
"Gore district","Population","2019",12850,
"Southland district","Population","2019",32200,
"Clutha district","Population","2019",18150,
"Dunedin city","Population","2019",132100,
"Queenstown-Lakes district","Population","2019",44800,
"Central Otago district","Population","2019",23000,
"Waitaki district","Population","2019",23200,
"Chatham Islands territory","Population","2019",710,
"Waimate district","Population","2019",8180,
"Mackenzie district","Population","2019",5280,
"Timaru district","Population","2019",47900,
"Ashburton district","Population","2019",34900,
"Selwyn district","Population","2019",66300,
"Christchurch city","Population","2019",387200,
"Waimakariri district","Population","2019",62800,
"Hurunui district","Population","2019",13100,
"Westland district","Population","2019",8830,
"Grey district","Population","2019",13850,
"Buller district","Population","2019",9760,
"Kaikoura district","Population","2019",4110,
"Marlborough district","Population","2019",49300,
"Nelson city","Population","2019",53400,
"Tasman district","Population","2019",54900,
"South Wairarapa district","Population","2019",11100,
"Carterton district","Population","2019",9660,
"Masterton district","Population","2019",26900,
"Wellington city","Population","2019",212900,
"Lower Hutt city","Population","2019",109900,
"Upper Hutt city","Population","2019",46200,
"Porirua city","Population","2019",59800,
"Kapiti Coast district","Population","2019",56100,
"Horowhenua district","Population","2019",35100,
"Tararua district","Population","2019",18700,
"Palmerston North city","Population","2019",89300,
"Manawatu district","Population","2019",31700,
"Rangitikei district","Population","2019",15650,
"Whanganui district","Population","2019",47200,
"Ruapehu district","Population","2019",12800,
"Ruapehu district","Net internal migration","2019",-60,
"Whanganui district","Net internal migration","2019",260,
"Rangitikei district","Net internal migration","2019",30,
"Manawatu district","Net internal migration","2019",290,
"Palmerston North city","Net internal migration","2019",-220,
"Tararua district","Net internal migration","2019",40,
"Horowhenua district","Net internal migration","2019",360,
"Kapiti Coast district","Net internal migration","2019",510,
"Porirua city","Net internal migration","2019",110,
"Upper Hutt city","Net internal migration","2019",310,
"Lower Hutt city","Net internal migration","2019",-140,
"Wellington city","Net internal migration","2019",-1000,
"Masterton district","Net internal migration","2019",400,
"Carterton district","Net internal migration","2019",100,
"South Wairarapa district","Net internal migration","2019",100,
"Tasman district","Net internal migration","2019",440,
"Nelson city","Net internal migration","2019",-100,
"Marlborough district","Net internal migration","2019",240,
"Kaikoura district","Net internal migration","2019",-10,
"Buller district","Net internal migration","2019",-110,
"Grey district","Net internal migration","2019",-40,
"Westland district","Net internal migration","2019",-40,
"Hurunui district","Net internal migration","2019",0,
"Waimakariri district","Net internal migration","2019",1100,
"Christchurch city","Net internal migration","2019",-1500,
"Selwyn district","Net internal migration","2019",1900,
"Ashburton district","Net internal migration","2019",10,
"Timaru district","Net internal migration","2019",40,
"Mackenzie district","Net internal migration","2019",40,
"Waimate district","Net internal migration","2019",-10,
"Chatham Islands territory","Net internal migration","2019",20,
"Waitaki district","Net internal migration","2019",170,
"Central Otago district","Net internal migration","2019",420,
"Queenstown-Lakes district","Net internal migration","2019",810,
"Dunedin city","Net internal migration","2019",-90,
"Clutha district","Net internal migration","2019",20,
"Southland district","Net internal migration","2019",-160,
"Gore district","Net internal migration","2019",40,
"Invercargill city","Net internal migration","2019",-180,
"Area outside territorial authority","Net internal migration","2019",0,
"Area outside territorial authority","Net international migration","2019",0,
"Invercargill city","Net international migration","2019",750,
"Gore district","Net international migration","2019",40,
"Southland district","Net international migration","2019",270,
"Clutha district","Net international migration","2019",60,
"Dunedin city","Net international migration","2019",790,
"Queenstown-Lakes district","Net international migration","2019",1200,
"Central Otago district","Net international migration","2019",310,
"Waitaki district","Net international migration","2019",140,
"Chatham Islands territory","Net international migration","2019",-10,
"Waimate district","Net international migration","2019",50,
"Mackenzie district","Net international migration","2019",100,
"Timaru district","Net international migration","2019",220,
"Ashburton district","Net international migration","2019",130,
"Selwyn district","Net international migration","2019",500,
"Christchurch city","Net international migration","2019",3400,
"Waimakariri district","Net international migration","2019",170,
"Hurunui district","Net international migration","2019",50,
"Westland district","Net international migration","2019",30,
"Grey district","Net international migration","2019",120,
"Buller district","Net international migration","2019",30,
"Kaikoura district","Net international migration","2019",30,
"Marlborough district","Net international migration","2019",280,
"Nelson city","Net international migration","2019",730,
"Tasman district","Net international migration","2019",390,
"South Wairarapa district","Net international migration","2019",80,
"Carterton district","Net international migration","2019",40,
"Masterton district","Net international migration","2019",90,
"Wellington city","Net international migration","2019",1700,
"Lower Hutt city","Net international migration","2019",820,
"Upper Hutt city","Net international migration","2019",250,
"Porirua city","Net international migration","2019",310,
"Kapiti Coast district","Net international migration","2019",520,
"Horowhenua district","Net international migration","2019",230,
"Tararua district","Net international migration","2019",120,
"Palmerston North city","Net international migration","2019",810,
"Manawatu district","Net international migration","2019",130,
"Rangitikei district","Net international migration","2019",80,
"Whanganui district","Net international migration","2019",70,
"Ruapehu district","Net international migration","2019",30,
"Ruapehu district","Net migration","2019",-30,
"Whanganui district","Net migration","2019",330,
"Rangitikei district","Net migration","2019",110,
"Manawatu district","Net migration","2019",420,
"Palmerston North city","Net migration","2019",590,
"Tararua district","Net migration","2019",150,
"Horowhenua district","Net migration","2019",590,
"Kapiti Coast district","Net migration","2019",1000,
"Porirua city","Net migration","2019",420,
"Upper Hutt city","Net migration","2019",560,
"Lower Hutt city","Net migration","2019",680,
"Lower Hutt city","Net migration","2020",1200,
"Upper Hutt city","Net migration","2020",400,
"Porirua city","Net migration","2020",280,
"Kapiti Coast district","Net migration","2020",1300,
"Horowhenua district","Net migration","2020",810,
"Tararua district","Net migration","2020",70,
"Palmerston North city","Net migration","2020",590,
"Manawatu district","Net migration","2020",760,
"Rangitikei district","Net migration","2020",160,
"Whanganui district","Net migration","2020",650,
"Ruapehu district","Net migration","2020",90,
"Ruapehu district","Net international migration","2020",130,
"Whanganui district","Net international migration","2020",460,
"Rangitikei district","Net international migration","2020",150,
"Manawatu district","Net international migration","2020",330,
"Palmerston North city","Net international migration","2020",1100,
"Tararua district","Net international migration","2020",90,
"Horowhenua district","Net international migration","2020",340,
"Kapiti Coast district","Net international migration","2020",680,
"Porirua city","Net international migration","2020",400,
"Upper Hutt city","Net international migration","2020",340,
"Lower Hutt city","Net international migration","2020",1300,
"Wellington city","Net international migration","2020",4600,
"Masterton district","Net international migration","2020",270,
"Carterton district","Net international migration","2020",80,
"South Wairarapa district","Net international migration","2020",150,
"Tasman district","Net international migration","2020",1800,
"Nelson city","Net international migration","2020",1600,
"Marlborough district","Net international migration","2020",1800,
"Kaikoura district","Net international migration","2020",60,
"Buller district","Net international migration","2020",100,
"Grey district","Net international migration","2020",170,
"Westland district","Net international migration","2020",100,
"Hurunui district","Net international migration","2020",240,
"Waimakariri district","Net international migration","2020",350,
"Christchurch city","Net international migration","2020",5500,
"Selwyn district","Net international migration","2020",580,
"Ashburton district","Net international migration","2020",410,
"Timaru district","Net international migration","2020",490,
"Mackenzie district","Net international migration","2020",80,
"Waimate district","Net international migration","2020",60,
"Chatham Islands territory","Net international migration","2020",10,
"Waitaki district","Net international migration","2020",300,
"Central Otago district","Net international migration","2020",720,
"Queenstown-Lakes district","Net international migration","2020",1700,
"Dunedin city","Net international migration","2020",1500,
"Clutha district","Net international migration","2020",150,
"Southland district","Net international migration","2020",300,
"Gore district","Net international migration","2020",120,
"Invercargill city","Net international migration","2020",810,
"Area outside territorial authority","Net international migration","2020",0,
"Area outside territorial authority","Net internal migration","2020",0,
"Invercargill city","Net internal migration","2020",-190,
"Gore district","Net internal migration","2020",30,
"Southland district","Net internal migration","2020",-90,
"Clutha district","Net internal migration","2020",30,
"Dunedin city","Net internal migration","2020",-910,
"Queenstown-Lakes district","Net internal migration","2020",900,
"Central Otago district","Net internal migration","2020",440,
"Waitaki district","Net internal migration","2020",190,
"Chatham Islands territory","Net internal migration","2020",20,
"Waimate district","Net internal migration","2020",20,
"Mackenzie district","Net internal migration","2020",40,
"Timaru district","Net internal migration","2020",0,
"Ashburton district","Net internal migration","2020",220,
"Selwyn district","Net internal migration","2020",2800,
"Christchurch city","Net internal migration","2020",-2600,
"Waimakariri district","Net internal migration","2020",1400,
"Hurunui district","Net internal migration","2020",50,
"Westland district","Net internal migration","2020",-40,
"Grey district","Net internal migration","2020",20,
"Buller district","Net internal migration","2020",-50,
"Kaikoura district","Net internal migration","2020",10,
"Marlborough district","Net internal migration","2020",90,
"Nelson city","Net internal migration","2020",-150,
"Tasman district","Net internal migration","2020",530,
"South Wairarapa district","Net internal migration","2020",120,
"Carterton district","Net internal migration","2020",130,
"Masterton district","Net internal migration","2020",560,
"Wellington city","Net internal migration","2020",-2000,
"Lower Hutt city","Net internal migration","2020",-80,
"Upper Hutt city","Net internal migration","2020",60,
"Porirua city","Net internal migration","2020",-120,
"Kapiti Coast district","Net internal migration","2020",610,
"Horowhenua district","Net internal migration","2020",470,
"Tararua district","Net internal migration","2020",-20,
"Palmerston North city","Net internal migration","2020",-510,
"Manawatu district","Net internal migration","2020",430,
"Rangitikei district","Net internal migration","2020",10,
"Whanganui district","Net internal migration","2020",190,
"Ruapehu district","Net internal migration","2020",-40,
"Ruapehu district","Population","2020",12950,
"Whanganui district","Population","2020",47900,
"Rangitikei district","Population","2020",15900,
"Manawatu district","Population","2020",32600,
"Palmerston North city","Population","2020",90400,
"Tararua district","Population","2020",18800,
"Horowhenua district","Population","2020",35900,
"Kapiti Coast district","Population","2020",57200,
"Porirua city","Population","2020",60600,
"Upper Hutt city","Population","2020",46800,
"Lower Hutt city","Population","2020",111800,
"Wellington city","Population","2020",216500,
"Masterton district","Population","2020",27700,
"Carterton district","Population","2020",9890,
"South Wairarapa district","Population","2020",11400,
"Tasman district","Population","2020",57300,
"Nelson city","Population","2020",54900,
"Marlborough district","Population","2020",51300,
"Kaikoura district","Population","2020",4200,
"Buller district","Population","2020",9770,
"Grey district","Population","2020",14100,
"Westland district","Population","2020",8910,
"Hurunui district","Population","2020",13450,
"Waimakariri district","Population","2020",64700,
